À faire,"
En cours",À tester,Terminée
"Tâches User story 1  et 2: Créer une interface de connexion, donner la possibilité de se connecter, de créer un compte, de récupérer son mot de passe, créer une interface de chat. ",,,
"Tâches User story 3, 4 et 7  : Créer un agenda qui permet de planifier des événements. 
",,,
Tâches User story 5 et 6  : Créer un catalogue de cours. Créer un système de notation pour chaque matière.,,,
